value,savings,description_doge,total_obligation,award_amount,link,fain_key,date,agency,funding_opportunity_goals,total_obligated_amount,federal_action_obligation,non_federal_funding_amount,action_date,action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,funding_office_name,recipient_name,recipient_parent_name,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_state_name,cfda_title,business_types_description,action_type_description,sector
34998729.0,12993908.0,USAID¿S RESEARCH FOR SCALABLE SOLUTIONS (R4S) ROUND 1 SEEKS TO STRENGTHEN GENERATION AND UTILIZATION OF EVIDENCE TO INCREASE ACCESS TO VOLUNTARY FP AND IMPROVE HEALTHY TIMING AND SPACING OF PREGNANCIES.,22004821.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA19CA00041_7200,7200AA19CA00041,3/1/2025,USAID,,22004821.0,0.0,0.0,2023-11-01,2024.0,Agency for International Development,Agency for International Development,USAID M/OAA,FAMILY HEALTH INTERNATIONAL,,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,International Development
34998729.0,12993908.0,USAID¿S RESEARCH FOR SCALABLE SOLUTIONS (R4S) ROUND 1 SEEKS TO STRENGTHEN GENERATION AND UTILIZATION OF EVIDENCE TO INCREASE ACCESS TO VOLUNTARY FP AND IMPROVE HEALTHY TIMING AND SPACING OF PREGNANCIES.,22004821.0,50000.0,https://usaspending.gov/award/ASST_NON_7200AA19CA00041_7200,7200AA19CA00041,3/1/2025,USAID,,22004821.0,50000.0,0.0,2024-07-17,2024.0,Agency for International Development,Agency for International Development,USAID M/OAA,FAMILY HEALTH INTERNATIONAL,,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),CONTINUATION,International Development
34722274.0,9273274.0,TO PROVIDE SUPPORT FOR “FAMILY PLANNING AND REPRODUCTIVE HEALTH  METHODS TO ADDRESS UNMET NEEDS”,25449000.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA20CA00016_7200,7200AA20CA00016,3/1/2025,USAID,ORACLE.SQL.CLOB@736008DE,25449000.0,0.0,0.0,2020-09-30,2020.0,Agency for International Development,Agency for International Development,USAID GH,FAMILY HEALTH INTERNATIONAL,FAMILY HEALTH INTERNATIONAL,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,International Development
34722274.0,9273274.0,TO PROVIDE SUPPORT FOR “FAMILY PLANNING AND REPRODUCTIVE HEALTH  METHODS TO ADDRESS UNMET NEEDS”,25449000.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA20CA00016_7200,7200AA20CA00016,3/1/2025,USAID,ORACLE.SQL.CLOB@736008DE,25449000.0,0.0,0.0,2021-02-21,2021.0,Agency for International Development,Agency for International Development,USAID GH,FAMILY HEALTH INTERNATIONAL,FAMILY HEALTH INTERNATIONAL,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,International Development
140000000.0,73943882.0,THE MICROBICIDE 2021 INTRODUCTION AND ACCESS PROJECT,66056118.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA21CA00011_7200,7200AA21CA00011,3/1/2025,USAID,NOT APPLICABLE,66056118.0,0.0,0.0,2021-11-09,2022.0,Agency for International Development,Agency for International Development,USAID M/OAA,FAMILY HEALTH INTERNATIONAL,FAMILY HEALTH INTERNATIONAL,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,International Development
140000000.0,73943882.0,THE MICROBICIDE 2021 INTRODUCTION AND ACCESS PROJECT,66056118.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA21CA00011_7200,7200AA21CA00011,3/1/2025,USAID,NOT APPLICABLE,66056118.0,0.0,0.0,2023-07-19,2023.0,Agency for International Development,Agency for International Development,USAID M/OAA,FAMILY HEALTH INTERNATIONAL,,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),REVISION,International Development
140000000.0,73943882.0,THE MICROBICIDE 2021 INTRODUCTION AND ACCESS PROJECT,66056118.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA21CA00011_7200,7200AA21CA00011,3/1/2025,USAID,NOT APPLICABLE,66056118.0,0.0,0.0,2024-08-08,2024.0,Agency for International Development,Agency for International Development,USAID M/OAA,FAMILY HEALTH INTERNATIONAL,,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),REVISION,International Development
44996978.0,36180934.63,"WITH THIS ACTIVITY, USAID SEEKS TO ADVANCE NUTRITION MONITORING, EVALUATION, RESEARCH, RESEARCH TRANSLATION, AND   LEARNING TO IMPROVE THE NUTRITIONAL STATUS OF WOMEN AND CHILDREN. THE NEW ACTIVITY WILL FILL EVIDENCE GAPS TO IMPROVE   NUTRITION OUTCOMES THROUGH HEALTH SYSTEMS WHILE ENSURING LOCAL PARTNERS DESIGN, IMPLEMENT, DISSEMINATE, AND USE   SUCH EVIDENCE FOR POLICIES AND PROGRAMS.",8816043.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA23CA00021_7200,7200AA23CA00021,3/1/2025,USAID,NOT APPLICABLE,8816043.0,0.0,0.0,2023-11-08,2024.0,Agency for International Development,Agency for International Development,USAID GH,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,International Development
44996978.0,36180934.63,"WITH THIS ACTIVITY, USAID SEEKS TO ADVANCE NUTRITION MONITORING, EVALUATION, RESEARCH, RESEARCH TRANSLATION, AND   LEARNING TO IMPROVE THE NUTRITIONAL STATUS OF WOMEN AND CHILDREN. THE NEW ACTIVITY WILL FILL EVIDENCE GAPS TO IMPROVE   NUTRITION OUTCOMES THROUGH HEALTH SYSTEMS WHILE ENSURING LOCAL PARTNERS DESIGN, IMPLEMENT, DISSEMINATE, AND USE   SUCH EVIDENCE FOR POLICIES AND PROGRAMS.",8816043.0,0.0,https://usaspending.gov/award/ASST_NON_7200AA23CA00021_7200,7200AA23CA00021,3/1/2025,USAID,NOT APPLICABLE,8816043.0,0.0,0.0,2023-11-12,2024.0,Agency for International Development,Agency for International Development,USAID M/OAA,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,International Development
260000.0,190957.0,"PURPOSE: PURPOSE NORTH CAROLINA REMAINS AN UNDERSERVED AREA IN NEED OF FAIR HOUSING ENFORCEMENT, SYSTEMIC INVESTIGATIONS, TESTING, AND EDUCATION AND OUTREACH SERVICES TO ADDRESS HOUSING DISCRIMINATION AND SEGREGATION, ENVIRONMENTAL JUSTICE, AND TO AFFH. UNDER THIS PROPOSED 12-MONTH PROJECT, LANC PROPOSES TO CONTINUE AND EXPAND ITS FULL SERVICE AND BROAD-BASED FAIR HOUSING ENFORCEMENT ACTIVITIES, AND TO PROVIDE COMPREHENSIVE FAIR HOUSING ENFORCEMENT, INVESTIGATIONS, AND EDUCATION AND OUTREACH SERVICES TO ALL PROTECTED CLASS MEMBERS THROUGHOUT NORTH CAROLINA, TARGETING UNDERSERVED POPULATIONS INCLUDING RACIAL AND ETHNIC MINORITIES, BLACK AND BROWN COMMUNITIES IMPACTED BY ENVIRONMENTAL JUSTICE AND EQUITABLE DISASTER RECOVERY, PEOPLE WITH DISABILITIES, LEP INDIVIDUALS, LGBTQ+ INDIVIDUALS, RURAL RESIDENTS, AND OTHER UNDERSERVED POPULATIONS. LANC ALSO PROPOSES SPECIFIC EFFORTS TO EMERGING FAIR HOUSING ISSUES, SUCH AS EQUITABLE DISASTER RELIEF, ENVIRONMENTAL JUSTICE, AND FAIR HOUSING. THE PROPOSED PROJECT IS ALSO DESIGNED TO MEET A NUMBER OF THE IMPEDIMENTS TO FAIR HOUSING IDENTIFIED IN LOCAL AND STATE ANALYSIS OF IMPEDIMENTS TO FAIR HOUSING, THE STATE OF EXCLUSION: AN EMPIRICAL ANALYSIS OF THE LEGACY OF SEGREGATED COMMUNITIES IN NORTH CAROLINA, AND LANC’S 12 YEARS’ OF EXPERIENCE UNDER FHOI, PEI, AND EOI GRANTS WORKING WITH INDIVIDUALS THROUGHOUT THE STATE ON FAIR HOUSING. THROUGH THIS PROJECT, LANC WILL AFFH AND WORK TO OVERCOME IMPEDIMENTS TO FAIR HOUSING IDENTIFIED IN NC, AND SUPPORT THE DEMONSTRATED SIGNIFICANT INCREASE IN REQUESTS TO LANC FOR FH ASSISTANCE DURING THE PAST THREE YEARS.; ACTIVITIES TO BE PERFORMED:  (1) CONDUCTING COMPLAINT INTAKE, PROCESSING & INVESTIGATIONS FOR AT LEAST 75 INDIVIDUALS; (2) PROVIDING FAIR HOUSING GUIDANCE/COUNSELING TO AT LEAST 40 HOUSEHOLDS; (3) MAKING 10 REFERRALS TO HUD/FHAP AGENCIES; (4) FILING 5 COMPLAINTS WITH HUD/FHAP OR IN STATE OR FEDERAL COURT; (5) ENGAGING IN DIRECT ADVOCACY TO ENFORCE POLICY CHANGES FOR AT LEAST 10 INDIVIDUALS, INCLUDING ASSISTING PEOPLE OBTAINING RA/RMS; (6) CONDUCTING AT LEAST 4 MARKET REVIEWS PRIOR TO TESTING; (7) INITIATING AND CONDUCTING A SYSTEMIC INVESTIGATION INTO POLICIES AND PRACTICES RELATED TO CDBG-DR AND/OR OTHER HOMEOWNER REPAIR PROGRAMS FOR FAIR HOUSING COMPLIANCE; (8) CONDUCTING 6 SYSTEMIC INVESTIGATIONS; (9) REVIEWING 20 ZONING AND DEVELOPMENT ORDINANCES FOR FAIR HOUSING AND ENVIRONMENTAL JUSTICE CONSIDERATIONS; (10) CONDUCTING 20 RENTAL TEST PARTS (10 MATCHED PAIR TESTS); (11) CONDUCTING 20 RENTAL TEST PARTS TARGETED AT HISTORY RECORDS (CRIMINAL BACKGROUND AND/OR EVICTION) IN TENANT SCREENING (10 MATCHED PAIR TESTS); (12) CONDUCTING 10 LENDING TEST PARTS (5 MATCHED PAIR TESTS); (13) CONDUCTING 10 FAIR HOUSING TRAININGS, INCLUDING 2 TRAININGS FOR PEOPLE WITH DISABILITIES AND/OR THEIR ADVOCATES, AND 2 FOR RURAL AUDIENCES AND/OR COMMUNITIES IMPACTED BY DISASTERS; (14) CONDUCTING A FAIR HOUSING TRAINING ON ENVIRONMENTAL JUSTICE IN PARTNERSHIP WITH UNC-PEMBROKE; (15) CONDUCTING A FAIR HOUSING DESIGN AND CONSTRUCTION ACCESSIBILITY EDUCATIONAL TRAINING; (16) IMPLEMENTING AFFIRMATIVE ONLINE OR SOCIAL MEDIA OUTREACH PLAN TO EDUCATE THE PUBLIC ABOUT FAIR HOUSING, REACHING 50,000 IMPRESSIONS; (17) DISTRIBUTING PSAS TO 10 MEDIA OUTLETS; (18) DISTRIBUTING 2,000 PIECES OF FAIR HOUSING LITERATURE; (19) CONDUCT TARGETED OUTREACH TO 20 ORGANIZATIONS WORKING WITH COMMUNITIES VULNERABLE TO ENVIRONMENTAL AND HEALTH HAZARDS; (20) CONDUCT TARGETED OUTREACH TO 20 ORGANIZATIONS SERVING AND/OR WORKING WITH LGBTQ+ INDIVIDUALS AND COMMUNITIES; (21) ATTRACTING 5,000 VIEWS TO THE FAIR HOUSING PROJECT’S WEBSITE; (22) DEVELOPING, TRANSLATING, AND DISTRIBUTING EDUCATIONAL MATERIAL ABOUT FH AND DISASTER RELIEF (SPANISH, FRENCH, AND CHINESE); (23) IDENTIFY EXPERTS AND DEVELOP PROPOSAL TO CREATE A WEB-BASED LETTER GENERATOR FOR INDIVIDUALS DENIED HOUSING BECAUSE OF THEIR MEMBERSHIP IN A PROTECTED CLASS, IN PARTNERSHIP WITH THE LANC INNOVATION LAB; (24) DEVELOPING A WEBPAGE FOR THE PROBONO GO PORTAL TO CONNECT VICTIMS OF DISCRIMINATION WITH POSSIBLE PRO BONO LEGAL ASSISTANCE. THROUGH ITS WORK UNDER PREVIOUS GRANTS, LANC HAS ESTABLISHED IMPORTANT PARTNERSHIPS WITH LOCAL AND STATE GOVERNMENT OFFICIALS AND STAFF, AS WELL AS WITH KEY STAKEHOLDERS AND MEMBERS OF COMMUNITY ORGANIZATIONS, TO FACILITATE STRATEGIC PROGRAM PLANNING AND ENABLE US TO IDENTIFY BOTH GEOGRAPHIC AND SUBSTANTIVE AREAS IN NEED OF FH ENFORCEMENT, SYSTEMIC INVESTIGATIONS, AND EDUCATION AND OUTREACH SERVICES. FOR THIS PROPOSED FHOI-CDC PROJECT, LANC WILL PARTNER WITH UNC-PEMBROKE, A NATIVE AMERICAN SERVING NONTRIBAL INSTITUTION, TO CONDUCT A FAIR HOUSING AND ENVIRONMENTAL JUSTICE TRAINING. LANC IS ABLE TO UNDERTAKE ALL NECESSARY STEPS TO COMPLETE THE PROPOSED PROJECT. LANC HAS THE EXPERIENCE, EXPERTISE, AND CAPACITY TO MEET ALL TARGETS SET OUT IN ITS FY2021 PEI-MY YEAR 3, FY2022 EOI-G, FY2022 EOI-TARGETED, AND FY2023 FHOI-CDC STATEMENT(S) OF WORK INDEPENDENTLY AND HAS MET OR EXCEEDED ALL SOW TARGETS IN PRIOR FHIP GRANTS. C. EXPECTED OUTCOMES THIS PROPOSAL BUILDS ON LANC’S PAST SUCCESSFUL FHIP GRANT PERFORMANCE. LANC WILL USE ITS EXPERIENCED STAFF AND HAS POLICIES AND PROCEDURES IN PLACE TO MEASURE, EVALUATE, AND IMPROVE PERFORMANCE, ENSURING SUCCESSFUL AND TIMELY COMPLETION OF ALL TASKS WITHIN BUDGET. LANC WILL MONITOR WORK ON THE PROPOSED FHOI-CDC PROJECT AND ASSESS PERFORMANCE TO ENSURE THAT ALL SOW TASKS ARE COMPLETED IN A THOROUGH, COST-EFFECTIVE, AND TIMELY MANNER AND THAT ALL WORK MEETS PROPOSED GOALS. PROGRESS ON ALL ACTIVITIES WILL BE REPORTED IN QUARTERLY AND FINAL PERFORMANCE REPORTS TO HUD. SPECIFICALLY, LANC’S PROPOSED OUTCOMES AND PERFORMANCE MEASURES FOR THE PROGRAM TASKS WE WILL CONDUCT WITH THIS PROPOSED FHOI-CDC PROJECT ARE AS FOLLOWS: (1) 75 FAIR HOUSING INTAKES CONDUCTED AND PROCESSED; (2) 40 HOUSEHOLDS PROVIDED WITH FAIR HOUSING GUIDANCE/COUNSELING (3) 10 INDIVIDUALS REFERRED TO HUD/FHAP AGENCIES; (4) 5 COMPLAINTS FILED WITH HUD/FHAP OR IN STATE OR FEDERAL COURT; (5) 10 INDIVIDUALS OBTAIN POLICY CHANGES AND/OR RAS/RMS AS A RESULT OF LANC ENGAGING IN DIRECT ADVOCACY ON THEIR BEHALF; (6) 4 MARKET REVIEWS CONDUCTED PRIOR TO TESTING; (7) 1 SYSTEMIC INVESTIGATION INITIATED AND CONDUCTED INTO CDBG-DR AND/OR OTHER HOMEOWNER REPAIR PROGRAMS; (8) 6 OTHER SYSTEMIC INVESTIGATIONS INITIATED AND CONDUCTED; (9) 20 ZONING AND DEVELOPMENT ORDINANCES REVIEWED FOR FAIR HOUSING COMPLIANCE; (10) 20 RENTAL TEST PARTS (10 MATCHED PAIR TESTS) CONDUCTED; (11) 20 RENTAL TEST PARTS TARGETED AT HISTORY RECORDS (CRIMINAL BACKGROUND AND/OR EVICTION) IN TENANT SCREENING (10 MATCHED PAIR TESTS) CONDUCTED; (12) 10 LENDING TEST PARTS (5 MATCHED PAIR TESTS) CONDUCTED; (13) 10 FAIR HOUSING TRAININGS CONDUCTED, INCLUDING 2 TRAININGS FOR PEOPLE WITH DISABILITIES AND/OR THEIR ADVOCATES AND 2 FOR RURAL AUDIENCES AND/OR COMMUNITIES IMPACTED BY DISASTERS, EDUCATING A TOTAL OF AT LEAST 150 INDIVIDUALS; (14) 1 FAIR HOUSING TRAINING ON ENVIRONMENTAL JUSTICE CONDUCTED IN PARTNERSHIP WITH UNC PEMBROKE CONDUCTED, EDUCATING 15 INDIVIDUALS; (15) 1 FAIR HOUSING DESIGN AND CONSTRUCTION ACCESSIBILITY EDUCATIONAL TRAINING CONDUCTED, EDUCATING 30 INDIVIDUALS; (16) 1 AFFIRMATIVE FAIR HOUSING ONLINE OR SOCIAL MEDIA OUTREACH PLAN IMPLEMENTED, REACHING 50,000 IMPRESSIONS; (17) 10 MEDIA OUTLETS DISTRIBUTED FH PSAS; (18) 2,000 PIECES OF FAIR HOUSING LITERATURE DISTRIBUTED; (19) 20 ORGANIZATIONS WORKING WITH COMMUNITIES VULNERABLE TO ENVIRONMENTAL AND HEALTH HAZARDS CONTACTED WITH EDUCATIONAL INFORMATION ABOUT FH; (20) 20 ORGANIZATIONS SERVING AND/OR WORKING WITH LGBTQ+ INDIVIDUALS AND COMMUNITIES CONTACTED WITH EDUCATIONAL INFORMATION ABOUT FH;  (21) 5,000 VIEWS TO THE FAIR HOUSING PROJECT’S WEBSITE ATTRACTED; (21) 1 BROCHURE ABOUT FH AND DISASTER RELIEF DEVELOPED AND TRANSLATED INTO 3 LANGUAGES (SPANISH, FRENCH, AND CHINESE); (22) 1 PROPOSAL DEVELOPED TO CREATE A WEB-BASED LETTER GENERATOR FOR INDIVIDUALS DENIED HOUSING BECAUSE OF THEIR MEMBERSHIP IN A PROTECTED CLASS, IN PARTNERSHIP WITH THE LANC INNOVATION LAB; AND (23) 1 WEBPAGE CREATED FOR THE NORTH CAROLINA PROBONO GO PORTAL TO CONNECT VICTIMS OF DISCRIMINATION WITH POSSIBLE PRO BONO LEGAL ASSISTANCE. LANC HAS MET OR EXCEEDED ALL PERFORMANCE GOALS AND COMPLETED ALL ACTIVITIES CONSISTENT WITH THE TIMELINES IN THE SOWS AND BUDGETS FOR ALL OF ITS PRIOR FHIP GRANTS, INCLUDING DURING THE COVID PANDEMIC.; EXPECTED OUTCOMES: SPECIFICALLY, LANC WILL UTILIZE AND REPORT ON THE FOLLOWING METRICS TO ENSURE THAT ITS WORK IS PROGRESSING TO SUCCESSFUL AND TIMELY COMPLETION AND TO DETERMINE IF ANY IMPROVEMENTS ARE NECESSARY: (1) NUMBER OF NEW INTAKES RECEIVED WITH ALLEGATIONS OF HOUSING DISCRIMINATION AND THE SOURCE OF LEAD; (2) NUMBER OF REFERRALS OF VICTIMS OF DISCRIMINATION TO HUD/FHAP; (3) NUMBER OF POLICY CHANGES AND/OR RA/RMS OBTAINED; (4) NUMBER AND TYPE OF COMPLAINTS FILED, (5) NUMBER AND TYPE OF TESTS COMPLETED AND THE RESULTS OF THOSE TESTS; (6) NUMBER, TYPES, DATES, AND LOCATIONS OF TRAININGS CONDUCTED; (7) NUMBER OF ATTENDEES AT TRAININGS; (8) QUALITY OF TRAININGS AND % OF ATTENDEES WHOSE FH KNOWLEDGE INCREASED; (9) NUMBER OF BROCHURES DISTRIBUTED, INCLUDING TYPE, LANGUAGE, AND LOCATION OF DISTRIBUTION; (10) NUMBER OF WEBSITE VIEWS; (11) NUMBER AND TYPE OF SOCIAL MEDIA / ONLINE OUTREACH PLACEMENTS; (12) NUMBER OF HOURS OF STAFF TRAINING PROVIDED.; INTENDED BENEFICIARIES:  INTENDED BENEFICIARIES LANC PROPOSES TO PROVIDE A BROAD-BASED FULL-SERVICE FAIR HOUSING ENFORCEMENT PROJECT AND WILL PROVIDE SERVICES TO ALL PROTECTED CLASS MEMBERS THROUGHOUT THE STATE OF NORTH CAROLINA. LANC’S ENFORCEMENT, SYSTEMIC INVESTIGATIONS, TESTING, AND EDUCATION AND OUTREACH ACTIVITIES WILL BE TARGETED TO SERVE UNDERSERVED POPULATIONS, INCLUDING PERSONS WITH DISABILITIES; AFRICAN AMERICANS; HISPANICS/LATINOS AND OTHER LEP POPULATIONS; LGBTQ+ COMMUNITIES; RURAL RESIDENTS, AND OTHER UNDERSERVED POPULATIONS. LANC HAS ALSO INCORPORATED EDUCATION AND OUTREACH ACTIVITIES TO AFFIRMATIVELY FURTHER FAIR HOUSING; SUBRECIPIENT ACTIVITIES: NONE",260000.0,260000.0,https://usaspending.gov/award/ASST_NON_FHOI230083_8611,FHOI230083,2/27/2025,Housing and Urban Development,NOT APPLICABLE,260000.0,260000.0,0.0,2024-07-03,2024.0,Department of Housing and Urban Development,Assistant Secretary for Fair Housing and Equal Opportunity,FHEO : FAIR HOUSING  EQUAL OPPOR,LEGAL AID OF NORTH CAROLINA INC,LEGAL AID OF NORTH CAROLINA INC,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,FAIR HOUSING ORGANIZATION INITIATIVES,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),REVISION,Justice Social Equity and Community
